Department,Contract_Number,Contract_Type,City,Award_Amount
DEPARTMENT OF BUILDINGS,T27497,CONSTRUCTION-GENERAL,CHICAGO,0
DEPARTMENT OF BUILDINGS,E011442,CONSTRUCTION-GENERAL,CHICAGO,"17,500.00"
DEPARTMENT OF BUILDINGS,T27500,CONSTRUCTION-GENERAL,CHICAGO,0
DEPARTMENT OF BUILDINGS,C02163,CONSTRUCTION-GENERAL,CHICAGO,"7,000.00"
DEPARTMENT OF BUILDINGS,C02106,CONSTRUCTION-GENERAL,CHICAGO,"8,200.00"
DEPT OF AVIATION,P011339,CONSTRUCTION-GENERAL,CHICAGO,"428,40,000.00"
DEPT OF AVIATION,T25387,CONSTRUCTION-GENERAL,CHICAGO,"22,220.00"
DEPT OF AVIATION,T25483,CONSTRUCTION-GENERAL,CHICAGO,"68,100.00"
DEPT OF AVIATION,T25327,CONSTRUCTION-GENERAL,CHICAGO,"1,00,000.00"
DEPT OF AVIATION,T27465,CONSTRUCTION-GENERAL,BURLINGTON,"12,58,514.00"
DEPT OF AVIATION,T25270,CONSTRUCTION-GENERAL,ELGIN,"28,71,482.00"
DEPT OF AVIATION,T25882,CONSTRUCTION-GENERAL,CHICAGO,"137,45,682.00"
DEPT OF AVIATION,T27495,CONSTRUCTION-GENERAL,GLENVIEW,"1,87,650.00"
DEPT OF AVIATION,T27503,CONSTRUCTION-GENERAL,GLENVIEW,0
DEPT OF AVIATION,C027661B,CONSTRUCTION-GENERAL,APPLETON,"1,87,060.00"
DEPARTMENT OF BUILDINGS,F02424,CONSTRUCTION-GENERAL,CHICAGO,"38,700.00"
CHICAGO DEPARTMENT OF TRANSPORTATION,28955,CONSTRUCTION-GENERAL,BENSENVILLE,"1,05,880.80"
CHICAGO DEPARTMENT OF TRANSPORTATION,28374,CONSTRUCTION-LARGE $3MILLIONorABOVE,CHICAGO_RIDGE,"1,848.00"
DEPT OF FAMILY AND SUPPORT SERVICES,27078,DELEGATE _AGENCY,CHICAGO,0
CHICAGO PUBLIC LIBRARY,29528,WORK SERVICES-SMALL ORDERS,MATTESON,"10,000.00"
DEPARTMENT OF CULTURAL AFFAIRS,27001,COMMODITIES-SMALL ORDERS,BURR _RIDGE,"9,016.00"
DEPT OF AVIATION,18041,COMMODITIES,CHICAGO,0
CHICAGO DEPARTMENT OF TRANSPORTATION,29578,CONSTRUCTION-GENERAL,CHICAGO,"-15,000.00"
CHICAGO DEPARTMENT OF TRANSPORTATION,21708,PROPERTY LEASE,OMAHA,770
DEPT OF STREETS & SANITATION,16510,WORK SERVICES / FACILITIES MAINT.,CHICAGO,0
CHICAGO DEPARTMENT OF TRANSPORTATION,29578,CONSTRUCTION-GENERAL,CHICAGO,"-15,000.00"
DEPT OF STREETS & SANITATION,16510,WORK SERVICES / FACILITIES MAINT.,CHICAGO,0
GRAPHICS & REPRODUCTION CTR,18414,COMMODITIES,CHICAGO,225
DEPARTMENT OF CULTURAL AFFAIRS,30291,COMMODITIES-SMALL ORDERS,BURR _RIDGE,"7,750.00"
DEPT OF FAMILY AND SUPPORT SERVICES,26976,DELEGATE AGENCY,CHICAGO,"2,09,676.00"
DEPT OF STREETS & SANITATION,15940,VEHICLES/HEAVY EQUIPMENT (CAPITAL),CHICAGO _RIDGE,0
DEPT OF STREETS & SANITATION,14695,WORK SERVICES / FACILITIES MAINT.,CHICAGO,"5,10,000.00"
DEPT OF STREETS & SANITATION,21724,PROPERTY LEASE,NORTHBROOK,"1,81,560.00"
DEPT OF COMMUNITY DEVELOPMENT,25233,"PRO SERV CONSULTING $250,000orABOVE",CHICAGO,0
DEPT OF STREETS & SANITATION,15780,VEHICLES/HEAVY EQUIPMENT (CAPITAL),BENSENVILLE,0
DEPT OF STREETS & SANITATION,15938,VEHICLES/HEAVY EQUIPMENT (CAPITAL),CHICAGO,0
DEPT OF FAMILY AND SUPPORT SERVICES,28650,DELEGATE AGENCY,CHICAGO,"1,20,000.00"
DEPT OF FAMILY AND SUPPORT SERVICES,28651,DELEGATE AGENCY,CHICAGO,"38,958.00"
CHICAGO DEPARTMENT OF TRANSPORTATION,9971,COMMODITIES,DOWNERS_GROVE,"35,000.00"
DEPT OF FLEET MGMT,18085,VEHICLES/HEAVY EQUIPMENT (CAPITAL),RIVERSIDE,0
DEPARTMENT OF WATER MANAGEMENT,15795,COMMODITIES,MC_COOK,"27,000.00"
DEPT OF FLEET MGMT,18086,VEHICLES/HEAVY EQUIPMENT (CAPITAL),RIVERSIDE,0
DEPT OF GENERAL SERVICES,19756,COMMODITIES,CHICAGO,0
DEPT OF GENERAL SERVICES,12554,WORK SERVICES / FACILITIES MAINT.,ATLANTA,0
DEPARTMENT OF WATER MANAGEMENT,20421,COMMODITIES,HANOVER PARK,"2,65,000.00"
DEPARTMENT OF WATER MANAGEMENT,21780,PROPERTY LEASE,CHICAGO,"1,18,440.00"
CHICAGO PUBLIC LIBRARY,28756,COMMODITIES,ELKHART LAKE,"28,025.00"
OHARE MODERNIZATION PROJECT,26117,CONSTRUCTION-AVIATION,CHICAGO,"1,79,643.40"
DEPT OF AVIATION,28241,CONSTRUCTION-AVIATION,FRANKLIN PARK,"24,940.00"
DEPARTMENT OF WATER MANAGEMENT,28663,CONSTRUCTION-LARGE $3MILLIONorABOVE,CHICAGO,"2,22,354.00"
DEPT _OF_FAMILY_AND_SUPPORT_SERVICES,30212,DELEGATE AGENCY,CHICAGO,"62,038.00"
CHICAGO DEPARTMENT OF TRANSPORTATION,25195,CONSTRUCTION-LARGE $3MILLIONorABOVE,CHICAGO,"-25,827.50"
CHICAGO DEPARTMENT OF TRANSPORTATION,29642,CONSTRUCTION-LARGE $3MILLIONorABOVE,BENSENVILLE,"-4,272.60"
DEPT OF AVIATION,29398,CONSTRUCTION-AVIATION,WAUCONDA,"-69,837.10"
CHICAGO DEPARTMENT OF TRANSPORTATION,22998,CONSTRUCTION-GENERAL,MOUNT PROSPECT,"-10,881.00"
CHICAGO PUBLIC LIBRARY,28756,COMMODITIES,ELKHART LAKE,"90,000.00"
DEPARTMENT OF WATER MANAGEMENT,9929,COMMODITIES,CHICAGO,0
DEPARTMENT OF WATER MANAGEMENT,9929,COMMODITIES,CHICAGO,0
DEPARTMENT OF WATER MANAGEMENT,21978,PROPERTY LEASE,CHICAGO,"36,000.00"
DEPARTMENT OF POLICE,24356,COMMODITIES,LENEXA,"60,000.00"
CHICAGO PUBLIC LIBRARY,28756,COMMODITIES,ELKHART LAKE,"40,000.00"
DEPARTMENT OF WATER MANAGEMENT,28663,CONSTRUCTION-LARGE $3MILLIONorABOVE,CHICAGO,"7,381.10"
DEPT OF COMMUNITY DEVELOPMENT,20194,"PRO SERV CONSULTING $250,000orABOVE",CHICAGO,0
