Date,Department_Agency_Name,Total_No_of_Employees,No_of_Employees_with_Debt,Percentage_Employees_with_Debt,Total_Amount_Due
10/14/11,Administrative Hearings,39,2,5.10%,368
10/14/11,Animal Care & Control,68,3,4.40%,"2,564.00"
10/14/11,Aviation,1265,54,4.30%,"19,092.00"
10/14/11,Board of Elections,112,5,4.50%,"1,068.00"
10/14/11,Board of Ethics,6,0,0.00%,0
10/14/11,Budget & Management,50,1,2.00%,400
10/14/11,Buildings,283,4,1.40%,861
10/14/11,Business Affairs & Consumer Protection,183,7,3.80%,"3,208.00"
10/14/11,Chicago Board of Education,48796,2832,5.80%,"9,62,067.00"
10/14/11,Chicago Housing Authority,467,25,5.40%,"6,137.00"
10/14/11,Chicago Park District,6420,422,6.60%,"2,29,971.00"
10/14/11,Chicago Public Library,1031,30,2.90%,"8,147.00"
10/14/11,Chicago Transit Authority,10279,1948,19.00%,"6,42,713.00"
10/14/11,City Clerk,98,3,3.10%,613
10/14/11,City Colleges of Chicago,1867,50,2.70%,"16,822.00"
10/14/11,City Council,425,33,7.80%,"11,377.00"
10/14/11,City Treasurer,22,0,0.00%,0
10/14/11,Compliance,23,0,0.00%,0
10/14/11,Cultural Affairs & Special Events,48,0,0.00%,0
10/14/11,Emergency Management & Communications,1317,90,6.80%,"30,416.00"
10/14/11,Environment,57,2,3.50%,269
10/14/11,Family & Support Services,866,38,4.40%,"13,589.00"
10/14/11,Finance,175,4,2.30%,"7,042.00"
10/14/11,Fire,4952,206,4.20%,"1,07,117.00"
10/14/11,Fleet Management,593,21,3.50%,"8,391.00"
10/14/11,General Services,490,32,6.50%,"9,990.00"
10/14/11,Housing & Economic Development,295,7,2.40%,"1,593.00"
10/14/11,Human Relations,28,0,0.00%,0
10/14/11,Human Resources,63,1,1.60%,200
10/14/11,Innovation & Technology,90,1,1.10%,221
10/14/11,Independent Police Review Authority,83,7,8.40%,"3,957.00"
10/14/11,Law,426,2,0.50%,"2,689.00"
10/14/11,Mayor's Office for People with Disabilities,32,0,0.00%,0
