AMOUNT,Check _Date,DEPARTMENT_NAME,CONTRACT_NUMBER,VENDOR_NAME
214.23,2013,DEPT OF STREETS & SANITATION,DV,"MEDRISK, INC"
"7,960.00",2012,DEPT OF STREETS & SANITATION,DV,LOUIS J STALLONE
"65,933.77",2012,DEPT OF STREETS & SANITATION,19691,GOODMAN WILLIAMS GROUP
"8,87,721.00",2012,DEPT OF STREETS & SANITATION,14311,ELECTRICAL RESOURCE MANAGEMENT
"7,423.56",2012,DEPT OF STREETS & SANITATION,14632,ELECTRICAL RESOURCE MANAGEMENT
"86,699.00",2012,DEPT OF STREETS & SANITATION,15126,ELECTRICAL RESOURCE MANAGEMENT
"61,500.00",2012, DEPARTMENT OF TRANSPORTATION,DV,ALVIN M. FOREMAN
"2,86,750.62",2012, DEPARTMENT OF TRANSPORTATION,18124,EL HOGAR DEL NINO 02
"4,801.57",2012, DEPARTMENT OF TRANSPORTATION,18520,EL HOGAR DEL NINO 02
"50,158.04",2012,DEPT OF STREETS & SANITATION,15271,ELECTRICAL RESOURCE MANAGEMENT
"6,23,870.00",2012, DEPARTMENT OF TRANSPORTATION,18622,ELECTRICAL RESOURCE MANAGEMENT
355.13,2013, DEPARTMENT OF TRANSPORTATION,DV,FIRST SCRIPT
322.71,2013, DEPARTMENT OF TRANSPORTATION,DV,"MEDRISK, INC"
"7,614.54",2012, DEPARTMENT OF TRANSPORTATION,23399,YWCA OF METRO  6831834
"5,555.79",2012, DEPARTMENT OF TRANSPORTATION,23488,YWCA OF METRO  6831834
"9,856.69",2012, DEPARTMENT OF TRANSPORTATION,25619,YWCA OF METRO  6831834
6.70,2012, DEPARTMENT OF TRANSPORTATION,DV,SANDRA MOSQUERA
"7,960.00",2012, DEPARTMENT OF TRANSPORTATION,DV,LOUIS J STALLONE
363.00,2012, DEPARTMENT OF TRANSPORTATION,DV,ELIZABETH A REYES
"5,99,572.07",2011, DEPARTMENT OF TRANSPORTATION,14760,ESI CONSULTANTS LIMITED
"12,219.32",2011, DEPARTMENT OF TRANSPORTATION,8453,ESI CONSULTANTS LIMITED
0.00,2011, DEPARTMENT OF TRANSPORTATION,DV,ESI CONSULTANTS LTD
330.00,2011, DEPARTMENT OF TRANSPORTATION,20418,PROFESSIONAL DYNAMIC NETWORK INC
"82,515.57",2011, DEPARTMENT OF TRANSPORTATION,22216,PROFESSIONAL DYNAMIC NETWORK INC
150.00,2011, DEPARTMENT OF TRANSPORTATION,DV,PROFESSIONAL DYNAMIC NETWORK INC
"27,16,808.77",2011, DEPARTMENT OF TRANSPORTATION,25107,EL HOGAR DEL NINO 02
"54,154.58",2011, DEPARTMENT OF TRANSPORTATION,25108,EL HOGAR DEL NINO 02
0.00,2011, DEPARTMENT OF TRANSPORTATION,DV,"ASI  WORKS,  INC."
"86,442.98",2011, DEPARTMENT OF TRANSPORTATION,26249,"ASI WORKS, INC."
"4,117.29",2011, DEPARTMENT OF TRANSPORTATION,23181,LINCOLN BEND CHAMBER OF COMMRC
"45,642.37",2011, DEPARTMENT OF TRANSPORTATION,25817,LINCOLN BEND CHAMBER OF COMMRC
223.95,2011, DEPARTMENT OF TRANSPORTATION,DV,JENNIFER  CIZNER
150.00,2011, DEPARTMENT OF TRANSPORTATION,DV,MACHERO  INC.
"1,16,223.27",2011, DEPARTMENT OF TRANSPORTATION,24949,CATHOLIC BISHOP OF  - ST. SABINA
"77,704.00",2011, DEPARTMENT OF TRANSPORTATION,26665,ALTERNATIVE TRANSPORTATION FOR LAND INC
"1,000.00",2012, DEPARTMENT OF TRANSPORTATION,DV,ALTERNATIVE TRANSPORTATION FOR LAND INC
"9,687.50",2012, DEPARTMENT OF TRANSPORTATION,DV,LEGAL ECONOMETRICS INC
106.59,2012, DEPARTMENT OF TRANSPORTATION,DV,TRACEY PAYNE
"7,305.60",2012, DEPARTMENT OF TRANSPORTATION,DV,FRONTIER REALTY GROUP INC
400.00,2012, DEPARTMENT OF TRANSPORTATION,DV,GEOFFREY BRADFIELD
"9,880.00",2012, DEPARTMENT OF TRANSPORTATION,DV,SALVATORE VITALE
100.43,2012, DEPARTMENT OF TRANSPORTATION,DV,TRESSA   FEHER
268.94,2013, DEPARTMENT OF TRANSPORTATION,DV,"MEDRISK, INC"
5.75,2013, DEPARTMENT OF TRANSPORTATION,DV, HUMANITIES FESTIVAL
